image,mask
images/000_transparent_reflectance_tile_1120_3584.tif,labels/000_transparent_reflectance_tile_1120_3584.tif
images/000_transparent_reflectance_tile_1120_3808.tif,labels/000_transparent_reflectance_tile_1120_3808.tif
images/000_transparent_reflectance_tile_1120_4032.tif,labels/000_transparent_reflectance_tile_1120_4032.tif
images/000_transparent_reflectance_tile_1120_4256.tif,labels/000_transparent_reflectance_tile_1120_4256.tif
images/000_transparent_reflectance_tile_1120_4480.tif,labels/000_transparent_reflectance_tile_1120_4480.tif
images/000_transparent_reflectance_tile_1120_4704.tif,labels/000_transparent_reflectance_tile_1120_4704.tif
images/000_transparent_reflectance_tile_1120_4928.tif,labels/000_transparent_reflectance_tile_1120_4928.tif
images/000_transparent_reflectance_tile_1120_5376.tif,labels/000_transparent_reflectance_tile_1120_5376.tif
images/000_transparent_reflectance_tile_1344_3360.tif,labels/000_transparent_reflectance_tile_1344_3360.tif
images/000_transparent_reflectance_tile_1344_3584.tif,labels/000_transparent_reflectance_tile_1344_3584.tif
images/000_transparent_reflectance_tile_1344_3808.tif,labels/000_transparent_reflectance_tile_1344_3808.tif
images/000_transparent_reflectance_tile_1344_4032.tif,labels/000_transparent_reflectance_tile_1344_4032.tif
images/000_transparent_reflectance_tile_1344_4256.tif,labels/000_transparent_reflectance_tile_1344_4256.tif
images/000_transparent_reflectance_tile_1344_4480.tif,labels/000_transparent_reflectance_tile_1344_4480.tif
images/000_transparent_reflectance_tile_1344_4704.tif,labels/000_transparent_reflectance_tile_1344_4704.tif
images/000_transparent_reflectance_tile_1344_5152.tif,labels/000_transparent_reflectance_tile_1344_5152.tif
images/000_transparent_reflectance_tile_1344_5376.tif,labels/000_transparent_reflectance_tile_1344_5376.tif
images/000_transparent_reflectance_tile_1568_2912.tif,labels/000_transparent_reflectance_tile_1568_2912.tif
images/000_transparent_reflectance_tile_1568_3136.tif,labels/000_transparent_reflectance_tile_1568_3136.tif
images/000_transparent_reflectance_tile_1568_3360.tif,labels/000_transparent_reflectance_tile_1568_3360.tif
images/000_transparent_reflectance_tile_1568_3584.tif,labels/000_transparent_reflectance_tile_1568_3584.tif
images/000_transparent_reflectance_tile_1568_3808.tif,labels/000_transparent_reflectance_tile_1568_3808.tif
images/000_transparent_reflectance_tile_1568_4032.tif,labels/000_transparent_reflectance_tile_1568_4032.tif
images/000_transparent_reflectance_tile_1568_4256.tif,labels/000_transparent_reflectance_tile_1568_4256.tif
images/000_transparent_reflectance_tile_1568_4480.tif,labels/000_transparent_reflectance_tile_1568_4480.tif
images/000_transparent_reflectance_tile_1568_4704.tif,labels/000_transparent_reflectance_tile_1568_4704.tif
images/000_transparent_reflectance_tile_1568_4928.tif,labels/000_transparent_reflectance_tile_1568_4928.tif
images/000_transparent_reflectance_tile_1568_5152.tif,labels/000_transparent_reflectance_tile_1568_5152.tif
images/000_transparent_reflectance_tile_1568_5376.tif,labels/000_transparent_reflectance_tile_1568_5376.tif
images/000_transparent_reflectance_tile_1792_2464.tif,labels/000_transparent_reflectance_tile_1792_2464.tif
images/000_transparent_reflectance_tile_1792_2688.tif,labels/000_transparent_reflectance_tile_1792_2688.tif
images/000_transparent_reflectance_tile_1792_2912.tif,labels/000_transparent_reflectance_tile_1792_2912.tif
images/000_transparent_reflectance_tile_1792_3136.tif,labels/000_transparent_reflectance_tile_1792_3136.tif
images/000_transparent_reflectance_tile_1792_3360.tif,labels/000_transparent_reflectance_tile_1792_3360.tif
images/000_transparent_reflectance_tile_1792_3808.tif,labels/000_transparent_reflectance_tile_1792_3808.tif
images/000_transparent_reflectance_tile_1792_4256.tif,labels/000_transparent_reflectance_tile_1792_4256.tif
images/000_transparent_reflectance_tile_1792_4480.tif,labels/000_transparent_reflectance_tile_1792_4480.tif
images/000_transparent_reflectance_tile_1792_4704.tif,labels/000_transparent_reflectance_tile_1792_4704.tif
images/000_transparent_reflectance_tile_1792_4928.tif,labels/000_transparent_reflectance_tile_1792_4928.tif
images/000_transparent_reflectance_tile_1792_5152.tif,labels/000_transparent_reflectance_tile_1792_5152.tif
images/000_transparent_reflectance_tile_2016_2240.tif,labels/000_transparent_reflectance_tile_2016_2240.tif
images/000_transparent_reflectance_tile_2016_2688.tif,labels/000_transparent_reflectance_tile_2016_2688.tif
