image,mask
images/006_tile_1120_1344.tif,labels/006_tile_1120_1344.tif
images/006_tile_1120_2464.tif,labels/006_tile_1120_2464.tif
images/006_tile_1120_4480.tif,labels/006_tile_1120_4480.tif
images/006_tile_1120_4704.tif,labels/006_tile_1120_4704.tif
images/006_tile_1344_1568.tif,labels/006_tile_1344_1568.tif
images/006_tile_1344_2240.tif,labels/006_tile_1344_2240.tif
images/006_tile_1344_2464.tif,labels/006_tile_1344_2464.tif
images/006_tile_1344_3808.tif,labels/006_tile_1344_3808.tif
images/006_tile_1568_2688.tif,labels/006_tile_1568_2688.tif
images/006_tile_1568_4256.tif,labels/006_tile_1568_4256.tif
images/006_tile_1792_1792.tif,labels/006_tile_1792_1792.tif
images/006_tile_1792_3136.tif,labels/006_tile_1792_3136.tif
images/006_tile_2016_1568.tif,labels/006_tile_2016_1568.tif
images/006_tile_2016_1792.tif,labels/006_tile_2016_1792.tif
images/006_tile_2016_3360.tif,labels/006_tile_2016_3360.tif
images/006_tile_2016_896.tif,labels/006_tile_2016_896.tif
images/006_tile_2240_1792.tif,labels/006_tile_2240_1792.tif
images/006_tile_2240_2912.tif,labels/006_tile_2240_2912.tif
images/006_tile_224_1344.tif,labels/006_tile_224_1344.tif
images/006_tile_224_2016.tif,labels/006_tile_224_2016.tif
images/006_tile_224_3360.tif,labels/006_tile_224_3360.tif
images/006_tile_2464_1120.tif,labels/006_tile_2464_1120.tif
images/006_tile_2464_1568.tif,labels/006_tile_2464_1568.tif
images/006_tile_2464_2688.tif,labels/006_tile_2464_2688.tif
images/006_tile_2464_3360.tif,labels/006_tile_2464_3360.tif
images/006_tile_2688_1792.tif,labels/006_tile_2688_1792.tif
images/006_tile_2688_2016.tif,labels/006_tile_2688_2016.tif
images/006_tile_2688_2240.tif,labels/006_tile_2688_2240.tif
images/006_tile_2688_2464.tif,labels/006_tile_2688_2464.tif
images/006_tile_2688_3584.tif,labels/006_tile_2688_3584.tif
images/006_tile_2688_3808.tif,labels/006_tile_2688_3808.tif
images/006_tile_2688_4032.tif,labels/006_tile_2688_4032.tif
images/006_tile_2912_1792.tif,labels/006_tile_2912_1792.tif
images/006_tile_2912_2016.tif,labels/006_tile_2912_2016.tif
images/006_tile_2912_3808.tif,labels/006_tile_2912_3808.tif
images/006_tile_2912_4032.tif,labels/006_tile_2912_4032.tif
images/006_tile_2912_4256.tif,labels/006_tile_2912_4256.tif
images/006_tile_3136_1568.tif,labels/006_tile_3136_1568.tif
images/006_tile_3136_2240.tif,labels/006_tile_3136_2240.tif
images/006_tile_3136_2688.tif,labels/006_tile_3136_2688.tif
images/006_tile_3136_3584.tif,labels/006_tile_3136_3584.tif
images/006_tile_3136_672.tif,labels/006_tile_3136_672.tif
images/006_tile_3360_2240.tif,labels/006_tile_3360_2240.tif
images/006_tile_3360_2464.tif,labels/006_tile_3360_2464.tif
images/006_tile_3584_3136.tif,labels/006_tile_3584_3136.tif
images/006_tile_3584_4032.tif,labels/006_tile_3584_4032.tif
images/006_tile_3808_2688.tif,labels/006_tile_3808_2688.tif
images/006_tile_3808_2912.tif,labels/006_tile_3808_2912.tif
images/006_tile_3808_4256.tif,labels/006_tile_3808_4256.tif
images/006_tile_4032_1568.tif,labels/006_tile_4032_1568.tif
images/006_tile_4032_2688.tif,labels/006_tile_4032_2688.tif
images/006_tile_4256_1344.tif,labels/006_tile_4256_1344.tif
images/006_tile_4256_2240.tif,labels/006_tile_4256_2240.tif
